z_N,T_N,n_N,A_N,dLA_N
0.371,6154030.2350947,0.8437520685596535,6.749154183541659e+41,1.69096158873388e-22
0.42399999999999993,7669398.720788327,0.7476419565982686,6.749154183541659e+41,3.5959261642594236e-22
0.47699999999999987,6607901.90997662,0.7481675964551229,7.542963961269093e+41,8.345352687047985e-22
0.5299999999999998,6053268.224838012,0.6976058339449089,8.808091176851337e+41,7.588791492651929e-22
0.5830000000000002,5707433.256396879,0.6058916152731809,9.729268974736936e+41,1.057666530953813e-21
0.6360000000000001,6378883.399113083,0.5313697469998666,1.2173867882201296e+42,1.2966066433938595e-21
0.6890000000000001,6970172.1490864,0.40654558571996235,1.4892162341646402e+42,1.0468805084486227e-21
0.742,6005590.259686174,0.3801782254154488,1.7273175413802106e+42,1.1121679004665533e-21
0.7949999999999999,5722085.955746913,0.31723759924815165,2.1175622538183178e+42,1.0667095947138096e-21
0.8479999999999999,5596494.621797689,0.3374170036139796,2.4661376666973735e+42,7.25256236498687e-22
0.9009999999999998,5366252.227385311,0.26690558269235126,2.7025747152047047e+42,2.6747395005449165e-22
0.9540000000000002,5931180.994767516,0.2624543530667751,2.7025747152047047e+42,2.797156582731422e-22
1.0070000000000001,5419786.459630673,0.25954880358701893,2.949832979607326e+42,-8.986802538701463e-23
1.06,6237537.679059095,0.23325451387382468,2.615866757965626e+42,-5.653272650014928e-22
1.113,5579546.878332764,0.24449932985740425,2.4661376666973735e+42,2.4925233564557952e-23
1.166,6204720.7596724965,0.17718282152243472,2.6359721655504376e+42,2.7423215762304815e-22
1.2189999999999999,5780065.151575543,0.16267952727577567,2.7025747152047047e+42,5.4007896883903865e-22
1.2719999999999998,6131469.55078158,0.14164300469337937,3.11338193695872e+42,2.3086220952412317e-22
1.3250000000000002,10325138.938639602,0.17043376378384423,2.937668732852626e+42,-5.889150614173567e-22
1.3779999999999997,5652401.960963534,0.16089803781848602,2.5475182681941267e+42,-6.422286756021766e-22
1.4309999999999996,5659736.855760452,0.23090291919732314,2.402533767230958e+42,5.080918840506047e-22
1.4839999999999995,5764491.3657049155,0.23005742434550217,2.9467895617241604e+42,7.342719494092769e-22
1.5370000000000004,3992424.31842127,0.5179196790127162,3.110255266870235e+42,6.012615905564004e-23
1.5900000000000003,4431523.4533202285,0.31951813349999997,3.007956370689554e+42,-2.582084901569181e-22
1.6430000000000002,4499386.700985108,0.279224489,2.856217445521167e+42,-1.6242370294683764e-22
1.6960000000000002,4109660.416857658,0.263516212,2.856217445521167e+42,-3.2740734469011966e-22
1.749,4011718.246835156,0.1849871485,2.5503480577768477e+42,-8.013247657355389e-22
1.802,4079778.7713827826,0.1931197154,2.1877744934315595e+42,-6.048032600115406e-22
1.855,4207718.632105304,0.2772656238,2.1175622538183178e+42,4.139676212636422e-22
1.908,4076378.6462860303,0.2209791257,2.4744950885540855e+42,1.0020232890509752e-21
1.9609999999999999,4245943.929268114,0.2102904489,2.928562041148033e+42,4.1102985046706807e-22
2.014,4167033.1761694164,0.2499530666,2.8682120462725724e+42,3.760433160231899e-22
2.0669999999999997,4584819.195736962,0.1645549453,3.2813432611920817e+42,2.87005009904623e-22
2.1199999999999997,4026827.3351490544,0.2112146113,3.176245205957052e+42,5.00517773224003e-22
2.1729999999999996,4423702.0051454455,0.1914949082,3.8013271108436496e+42,5.86692716921667e-22
2.2259999999999995,4171651.7761301934,0.1674339785,3.905706526759171e+42,2.20344363851883e-22
2.2790000000000004,4191611.554855158,0.2591466615,4.082813812605295e+42,2.136091329516047e-22
2.3320000000000003,4130977.9247168205,0.1547959136,4.190963139705124e+42,0.0
2.3850000000000002,4133391.6653998396,0.2806391803,4.082813812605295e+42,1.3732855876706972e-22
2.438,4958345.566434151,0.1208877273,4.374353610858428e+42,0.0
2.491,4515621.427982913,0.1396183126,4.082813812605295e+42,-1.3732855876706972e-22
2.544,3241781.3870421583,0.2838314325,4.190963139705124e+42,2.1268050316959574e-22
2.597,4242091.227793296,0.2021185639,4.374353610858428e+42,-7.558813075778234e-23
2.65,4507939.234078305,0.1324961332,4.082813812605295e+42,-4.366283598658356e-22
